"cfr.data.age1","cfr.data.age2","cfr.data.age3","cfr.data.age4","cfr.data.age5","cfr.data.agelt6"
0,0.0588235294117647,0,0,NA,0.025974025974026
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0819672131147541,0,0.0769230769230769,NA,0.0342465753424658
0,0.0163934426229508,0,0.111111111111111,NA,0.0072992700729927
0,0,0,0.0588235294117647,NA,0
0,0,0,0.166666666666667,NA,0
0,0,0,0.25,NA,0
0,0.0632911392405063,0,0,NA,0.029585798816568
0.0111111111111111,0.0506329113924051,0,0,NA,0.029585798816568
0,0.0634920634920635,0,0,NA,0.027972027972028
0,0.0833333333333333,0,0,NA,0.0377358490566038
0,0.0410958904109589,0,0,NA,0.0182926829268293
0,0.0303030303030303,0,0,NA,0.012987012987013
0,0.0895522388059701,0,0.105263157894737,NA,0.0408163265306122
0,0,0,0.136363636363636,NA,0
0,0,0,0.1,1,0
0,0,0.0555555555555556,0,NA,0
0,0,0,0,0,0
0.0114942528735632,0,0,0.0714285714285714,NA,0.00704225352112676
0,0,0,0.115384615384615,NA,0
0,0,0,0.315789473684211,0,0
0,0.0161290322580645,0,0,0,0.00684931506849315
0,0,0,0,1,0
0.0119047619047619,0,0.0476190476190476,0.0454545454545455,NA,0.00680272108843537
0.0106382978723404,0,0,0,NA,0.00613496932515337
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,1,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.0434782608695652,NA,0
0,0,0,0.105263157894737,NA,0
0,0,0,0.04,NA,0
0.0121951219512195,0,0,0.0952380952380952,NA,0.00704225352112676
0,0,0,0,NA,0
0.025,0,0,0,NA,0.0136986301369863
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.0416666666666667,NA,0
0,0,0,0,NA,0
0.0121951219512195,0,0,0.0384615384615385,NA,0.00714285714285714
0.0131578947368421,0,0,0,NA,0.00719424460431655
0.0131578947368421,0,0,0,NA,0.0078125
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0111111111111111,0,0,0,NA,0.00666666666666667
0.010752688172043,0,0,0,NA,0.00625
0.0114942528735632,0.0144927536231884,0,0,NA,0.0128205128205128
0,0.015625,0,0,NA,0.00675675675675676
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0.0166666666666667,0,0,0,0.0072463768115942
0,0.015625,0,0,NA,0.00714285714285714
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,1,0
0,0,0,0.0384615384615385,NA,0
0.0111111111111111,0,0,0,NA,0.00632911392405063
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0149253731343284,0,0,NA,0.00662251655629139
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.142857142857143,1,0
0,0.0166666666666667,0,0.0454545454545455,NA,0.00699300699300699
0.0121951219512195,0.0769230769230769,0,0,NA,0.0408163265306122
0,0.0175438596491228,0,0,NA,0.00699300699300699
0,0.0821917808219178,0,0,NA,0.0377358490566038
0,0.0350877192982456,0,0,NA,0.0142857142857143
0.0212765957446809,0,0,0.03125,NA,0.0136054421768707
0,0.0428571428571429,0,0,NA,0.0188679245283019
0,0.0298507462686567,0.0476190476190476,0,0,0.0136054421768707
0.0224719101123595,0.0579710144927536,0,0,NA,0.0379746835443038
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0454545454545455,0,0,NA,0.0204081632653061
0,0,0,0,NA,0
0,0,0,0.032258064516129,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0224719101123595,0,0,0,0,0.0119047619047619
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0116279069767442,0,0,0,NA,0.00671140939597315
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0113636363636364,0,0,0.137931034482759,0,0.00636942675159236
0,0,0,0.0454545454545455,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0147058823529412,0.0416666666666667,0,NA,0.00675675675675676
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.0454545454545455,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0101010101010101,0,0,0,NA,0.00598802395209581
0,0.0273972602739726,0,0,NA,0.0115606936416185
0,0.0128205128205128,0,0,NA,0.00531914893617021
0,0.0307692307692308,0,0,NA,0.0130718954248366
0,0,0,0,NA,0
0,0,0,0.0384615384615385,NA,0
0,0,0,0,NA,0
0.025,0,0,0,NA,0.0143884892086331
0,0,0,0,NA,0
0.0119047619047619,0,0,0.0714285714285714,NA,0.00719424460431655
0,0,0,0.0384615384615385,1,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0105263157894737,0,0,0,NA,0.00632911392405063
0,0.0149253731343284,0,0,NA,0.0065359477124183
0,0.0769230769230769,0,0,NA,0.0368098159509202
0,0.0869565217391304,0,0,0,0.0397350993377483
0,0.0895522388059701,0,0,NA,0.0402684563758389
0,0.0333333333333333,0,0,NA,0.0148148148148148
0,0.112903225806452,0,0,NA,0.0514705882352941
0,0.0714285714285714,0,0,NA,0.0305343511450382
0,0.0983606557377049,0,0.0666666666666667,NA,0.0425531914893617
0,0.0491803278688525,0,0.0833333333333333,NA,0.0205479452054795
0,0.0166666666666667,0,0.130434782608696,NA,0.0072463768115942
0,0.032258064516129,0,0.153846153846154,NA,0.0140845070422535
0.0224719101123595,0,0,0,NA,0.0136054421768707
0,0,0,0,NA,0
0.0119047619047619,0.0327868852459016,0,0,NA,0.0206896551724138
0,0.0163934426229508,0,0,NA,0.00689655172413793
0,0,0,0,NA,0
0,0.0547945205479452,0,0,NA,0.025974025974026
0,0.0454545454545455,0,0,0,0.02
0,0.0645161290322581,0,0,NA,0.027027027027027
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0.0833333333333333,NA,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0.0869565217391304,NA,0
0,0,0,0.117647058823529,1,0
0,0,0,0.04,NA,0
0,0,0,0.16,1,0
0,0,0,0.133333333333333,NA,0
0,0,0,0.08,NA,0
0,0,0,0,NA,0
0,0,0,0.107142857142857,0,0
0,0,0,0.130434782608696,NA,0
0,0,0,0.0909090909090909,NA,0
0,0,0,0.263157894736842,NA,0
0,0,0,0.2,NA,0
0,0,0,0.0454545454545455,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0240963855421687,0,0,0,NA,0.0141843971631206
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,NA,0
0,0,0,0.0909090909090909,NA,0
0,0,0,0,NA,0
0,0.0298507462686567,0,0,NA,0.0135135135135135
0,0.0422535211267606,0,0.05,NA,0.0196078431372549
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.015625,0,0,NA,0.00680272108843537
0.0256410256410256,0,0,0,NA,0.0147058823529412
0.0135135135135135,0,0,0,NA,0.0078125
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0327868852459016,0,0,NA,0.0152671755725191
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0.012987012987013,0,0,0,NA,0.00719424460431655
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.0666666666666667,NA,0
0,0.027027027027027,0,0.05,NA,0.0121951219512195
0,0.0140845070422535,0,0,NA,0.00657894736842105
0,0,0,0,NA,0
0.0120481927710843,0.0144927536231884,0,0,NA,0.0131578947368421
0.0108695652173913,0.0416666666666667,0,0,NA,0.024390243902439
0,0,0,0.1875,NA,0
0.0120481927710843,0,0,0,NA,0.00684931506849315
0,0,0,0,0,0
0,0,0,0,NA,0
0.0135135135135135,0,0,0,NA,0.00740740740740741
0,0,0,0,NA,0
0,0,0,0,NA,0
0.0119047619047619,0,0,0,NA,0.00704225352112676
0,0,0,0,NA,0
0,0.0158730158730159,0,0,NA,0.00709219858156028
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0.0909090909090909,NA,0
0,0.0140845070422535,0,0,NA,0.00584795321637427
0,0,0,0.0666666666666667,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0.0317460317460317,0.0434782608695652,0,NA,0.0125
0,0.0172413793103448,0,0,NA,0.0072992700729927
0,0,0,0,0,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0.0120481927710843,0,0,0,NA,0.00680272108843537
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,NA,0
0,0,0,0,0,0
0,0,0,0,NA,0
0.0111111111111111,0,0,0,NA,0.00662251655629139
0.0126582278481013,0,0,0,0,0.00740740740740741
0.0125,0.0327868852459016,0,0,NA,0.0212765957446809
0,0.0303030303030303,0,0,NA,0.0134228187919463
0,0.0441176470588235,0,0.0833333333333333,NA,0.0192307692307692
